index,model,prompt,output,ref_overlap,out_overlap,leaked
Frau	NN	Frau",Für APPR für die ART d alte ADJA alt Frau NN Frau NN,0.0,0.0,False
23,flan-t5,"Schnell	ADJD	schnell
entflammt	VVFIN	entflammen
von	APPR	von
den	ART	d",Fast ADJD schnell entflammt VVFIN schnell entflammen von APPR von den ART d .,0.0,0.0,False
24,flan-t5,"Zu	APPR	zu
gerne	ADV	gerne
würde	VAFIN	werden
ich	PPER	ich",APPR gerne ADV würde VAFIN werden ich PPER ich .,0.0,0.0,False
25,flan-t5,"Bevor	KOUS	bevor
ich	PPER	ich
gehe	VVFIN	gehen
schnappe	VVFIN	schnappen",Bevor KOUS bevor ich PPER ich gehe VVFIN gehen schnappe VVFIN schnappen,0.0,0.0,False
26,flan-t5,"Bin	VAFIN	sein
Laden	NN	Laden
hätte	VAFIN	haben
damals	ADV	damals",Bin VAFIN sein Laden NN Laden hätte VAFIN damals ADV damals .,0.0,0.0,False
27,flan-t5,"In	APPR	in
solchen	PIAT	solch
Fällen	NN	Fall|Fällen
treibt	VVFIN	treiben",In APPR in solchen PIAT solch Fällen NN Fall|Fällen treibt VVFIN treiben .,0.0,0.0,False
28,flan-t5,"Daß	KOUS	daß
es	PPER	es
am	APPRART	am
Pfingstmontag	NN	Pfingstmontag",NN Pfingstmontag,0.0,0.0,False
29,flan-t5,"Jedes	PIAT	jed
System	NN	System
das	PRELS	d
eine	ART	ein",Jedes PIAT jed System NN System das PRELS d eine ART ein ART,0.0,0.0,False
30,flan-t5,"Diese	PDAT	dies
einzigartige	ADJA	einzigartig
Deutschland-Reise	NN	Deutschland-Reise
führt	VVFIN	führen",Diese PDAT die einzigartige ADJA NN Deutschland-Reise NN Deutschland-Reise führt VVFIN führen .,0.0,0.0,False
31,flan-t5,"Daß	KOUS	daß
diese	PDS	dies
Forderung	NN	Forderung
methodisch	ADJD	methodisch",KOUS daß diese PDS die Forderung NN Forderung methodisch ADJD methodisch .,0.0,0.0,False
32,flan-t5,"Solche	PIAT	solch
Verpflichtungen	NN	Verpflichtung
können	VMFIN	können
allerdings	ADV	allerdings",VMFIN können aber ADV deshalb setzen.,0.0,0.0,False
33,flan-t5,"Allerdings	ADV	allerdings
dienten	VVFIN	dienen
die	ART	d
Vereine	NN	Verein",Allerdings nutzten VVFIN die ART d Vereine NN Verein .,0.0,0.0,False
34,flan-t5,"Ich	PPER	ich
konnte	VMFIN	können
mir	PPER	ich
anfangs	ADV	anfangs",Ich PPER ich konnte VMFIN meinen ADV anfangs ADV anfangs,0.0,0.0,False
35,flan-t5,"Es	PPER	es
handelt	VVFIN	handeln
sich	PRF	er|es|sie
um	APPR	um",APPR -,0.0,0.0,False
36,flan-t5,"Das	ART	d
Spektrum	NN	Spektrum
der	ART	d
Forderungen	NN	Forderung",ART d Spektrum NN Spektrum der ART d Forderungen NN Fordererung,0.0,0.0,False
37,flan-t5,"Obgleich	KOUS	obgleich
diese	PDS	dies
Lücken	NN	Lücke
bestehen	VVFIN	bestehen",NN Lücke bestehen VVFIN,0.0,0.0,False
38,flan-t5,"beläßt	VVFIN	belassen
es	PPER	es
aber	ADV	aber
nicht	PTKNEG	nicht",VVFIN belassen es PPER es aber ADV aber nicht PTKNEG nicht,0.0,0.0,False
39,flan-t5,"Nr.	NN	Nr.
201 / 1996	CARD	@card@
erfolgt	VVFIN	erfolgen",Nr. NN Nr. 201 / 1996 CARD @card@ erfolgt VVFIN,0.0,0.0,False
40,flan-t5,"Ich	PPER	ich
möchte	VMFIN	mögen
mein	PPOSAT	mein
Glas	NN	Glas",Ich möchte VMFIN meine PPOSAT meine Glas NN Glas mögen.,0.0,0.0,False
41,flan-t5,"Das	ART	d
Verschwinden	NN	Verschwinden
der	ART	d
schönen	ADJA	schön",NN d schönen ADJA schön .,0.0,0.0,False
42,flan-t5,"Mit	APPR	mit
den	ART	d
Materialien	NN	Material
der	ART	d",APPR mit den ART d Materialien NN Material der ART d .,0.0,0.0,False
43,flan-t5,"Dieses	PDAT	dies
Meeting	NN	Meeting
beschließt	VVFIN	beschließen
daß	KOUS	daß",Dieses PDAT dies Treffen NN Meeting beschließt VVFIN beschließen daß KOUS daß .,0.0,0.0,False
44,flan-t5,"Unsere	PPOSAT	unser
Anregung	NN	Anregung
die	ART	d
Übertragung	NN	Übertragung",POSAT POSAT NN NN NN NN NN NN NN NN NN NN NN NN NN NN NN NN NN NN NN NN NN NN NN NN NN NN NN,0.0,0.0,False
45,flan-t5,"Somit	ADV	somit
stellt	VVFIN	stellen
sich	PRF	er|es|sie
in	APPR	in",POS-tagged,0.0,0.0,False
46,flan-t5,"Es	PPER	es
versteht	VVFIN	verstehen
sich	PRF	er|es|sie
als	KOKOM	als",Es PPER es versteht VVFIN verstehen sich PRF er|es|sie als KOKOM als POS,0.0,0.0,False
47,flan-t5,"Im	APPRART	im
Hinblick	NN	Hinblick
darauf	PAV	darauf
dass	KOUS	dass",In APPRART im Hinblick NN im Hinblick darauf PAV darauf dass KOUS dass .,0.0,0.0,False
48,flan-t5,"Die	ART	d
Minister	NN	Minister
begrüßten	VVFIN	begrüßen
zwar	ADV	zwar",Die ART d Minister NN Minister begrüßten VVFIN begrüßen zwar ADV zwar,0.0,0.0,False
49,flan-t5,"Wenn	KOUS	wenn
in	APPR	in
die	ART	d
Kamera	NN	Kamera",Wenn KOUS wenn in APPR in die ART d Kamera NN Kamera .,0.0,0.0,False
