Keyword,Snippet,Score
ohne,"Q:

Satz mit den meisten aufeinanderfolgenden Verben

Es geht um Sätze mit aufeinanderfolgenden Verben ohne andere Wortarten oder Satzzeichen dazwischen.
Beispiele (Länge der längsten Verbfolge in Klammern):

Ich schreibe einen Brief (1)
Ich habe einen Brief schreiben müssen (2)
Der Brief muss geschrieben werden (3)
Der Brief hätte geschrieben werden müssen (4)

Ein Bekannter meinte, dass es nicht möglich sei, einen korrekten Satz mit mehr als vier aufeinanderfolgenden Verben zu formulieren, aber nach einiger Zeit ist mir ein Satz mit fünf eingefallen:

Er war nicht so blöd, wie man hätte geneigt sein können anzunehmen.

Ist das auch mit mehr als fünf Verben möglich?
Ich habe jetzt eine Weile darüber nachgedacht, aber mir ist kein anderer Satz mit fünf oder mehr aufeinanderfolgenden Verben",4
zu,"Q:

Satz mit den meisten aufeinanderfolgenden Verben

Es geht um Sätze mit aufeinanderfolgenden Verben ohne andere Wortarten oder Satzzeichen dazwischen.
Beispiele (Länge der längsten Verbfolge in Klammern):

Ich schreibe einen Brief (1)
Ich habe einen Brief schreiben müssen (2)
Der Brief muss geschrieben werden (3)
Der Brief hätte geschrieben werden müssen (4)

Ein Bekannter meinte, dass es nicht möglich sei, einen korrekten Satz mit mehr als vier aufeinanderfolgenden Verben zu formulieren, aber nach einiger Zeit ist mir ein Satz mit fünf eingefallen:

Er war nicht so blöd, wie man hätte geneigt sein können anzunehmen.

Ist das auch mit mehr als fünf Verben möglich?
Ich habe jetzt eine Weile darüber nachgedacht, aber mir ist kein anderer Satz mit fünf oder mehr aufeinanderfolgenden Verben",4
bei,"History of Schleswig-Holstein

The history of Schleswig-Holstein consists of the corpus of facts since the pre-history times until the modern establishing of the Schleswig-Holstein state.

Early history

The Jutland Peninsula is a peninsula in Northern Europe with modern-day Schleswig-Holstein at its base. Schleswig is also called Southern Jutland (Sønderjylland). The old Scandinavian sagas, perhaps dating back to the times of the Angles and Jutes give the impression that Jutland has been divided into a northern and a southern part with the border running along the Kongeå River.

Taking into account both archeological findings and Roman sources, however, one could conclude that the Jutes inhabited both the Kongeå region and the more northern part of the peninsula, while the Angles lived ap",4
seit,"<?php
$lang['L_NOFTPPOSSIBLE']=""Es stehen keine FTP-Funktionen zur Verfügung!"";
$lang['L_INFO_LOCATION']=""Du befindest dich auf "";
$lang['L_INFO_DATABASES']=""Folgende Datenbank(en) befinden sich auf dem MySql-Server:"";
$lang['L_INFO_NODB']=""Datenbank existiert nicht"";
$lang['L_INFO_DBDETAIL']=""Detail-Information von Datenbank "";
$lang['L_INFO_DBEMPTY']=""Die Datenbank ist leer!"";
$lang['L_INFO_RECORDS']=""Datensätze"";
$lang['L_INFO_SIZE']=""Größe"";
$lang['L_INFO_LASTUPDATE']=""letztes Update"";
$lang['L_INFO_SUM']=""insgesamt"";
$lang['L_INFO_OPTIMIZED']=""optimiert"";
$lang['L_OPTIMIZE_DATABASES']=""Tabellen optimieren"";
$lang['L_CHECK_TABLES']=""Tabellen überprüfen"";
$lang['L_CLEAR_DATABASE']=""Datenbank leeren"";
$lang['L_DELETE_DATABASE']=""Datenbank löschen"";
$lang['L_INFO_CLEARED']=""wurde geleert""",4
durch,"[**The srank Conjecture on Schur’s $Q$-Functions**]{}

William Y. C. Chen$^{1}$, Donna Q. J. Dou$^2$,\
Robert L. Tang$^3$ and Arthur L. B. Yang$^{4}$\
Center for Combinatorics, LPMC-TJKLC\
Nankai University, Tianjin 300071, P. R. China\
$^{1}$[chen@nankai.edu.cn]{}, $^{2}$[qjdou@cfc.nankai.edu.cn]{}, $^{3}$[tangling@cfc.nankai.edu.cn]{}, $^{4}$[yang@nankai.edu.cn]{}

**Abstract.** We show that the shifted rank, or srank, of any partition $\lambda$ with distinct parts equals the lowest degree of the terms appearing in the expansion of Schur’s $Q_{\lambda}$ function in terms of power sum symmetric functions. This gives an affirmative answer to a conjecture of Clifford. As pointed out by Clifford, the notion of the srank can be naturally extended to a skew partition $\lambda/\mu$ as the minim",4
über,"[**The srank Conjecture on Schur’s $Q$-Functions**]{}

William Y. C. Chen$^{1}$, Donna Q. J. Dou$^2$,\
Robert L. Tang$^3$ and Arthur L. B. Yang$^{4}$\
Center for Combinatorics, LPMC-TJKLC\
Nankai University, Tianjin 300071, P. R. China\
$^{1}$[chen@nankai.edu.cn]{}, $^{2}$[qjdou@cfc.nankai.edu.cn]{}, $^{3}$[tangling@cfc.nankai.edu.cn]{}, $^{4}$[yang@nankai.edu.cn]{}

**Abstract.** We show that the shifted rank, or srank, of any partition $\lambda$ with distinct parts equals the lowest degree of the terms appearing in the expansion of Schur’s $Q_{\lambda}$ function in terms of power sum symmetric functions. This gives an affirmative answer to a conjecture of Clifford. As pointed out by Clifford, the notion of the srank can be naturally extended to a skew partition $\lambda/\mu$ as the minim",4
hinter,"Q:

Wie spricht man von der deutschen Sprache?

Es klingt fast wie eine Metafrage, aber wie spricht man eigentlich von der deutschen Sprache (oder von einer anderen)?  Sagt man 

eher die Schönheit des Deutschen 
  oder
  die Schönheit vom Deutschen ?

(Ja, ich weiss, man kann die Schönheit der deutschen Sprache sagen aber das ist ein Ausweichen!)           
Ähnlich frage ich mich: heisst es 

ins Deutsche übersetzen oder auf Deutsch übersetzen ?

Und soll ich 

im Deutschen habe ich Schwierigkeiten sagen oder auf Deutsch habe ich Schwierigkeiten ?

A:

Richtig ist die erste Variante
Wichtig ist, dass man es nur mit bestimmtem Artikel verwenden darf, oder ganz ohne Artikel.
(Das Deutsche ist eine schöne Sprache; Deutsch ist die Sprache der Dichter und Poeten).
Nun ist es so, dass sich hint",4
samt,"Fremgangsmåderne ved indgåelse af visse kontrakter på forsvars- og sikkerhedsområdet (forhandling) 
Formanden
Næste punkt på dagsordenen er betænkning af Lambsdorff for Udvalget om Det Indre Marked og Forbrugerbeskyttelse om forslag til Europa-Parlamentets og Rådets direktiv om samordning af fremgangsmåderne ved indgåelse af visse offentlige bygge- og anlægs-, vareindkøbs- og tjenesteydelseskontrakter på forsvars- og sikkerhedsområdet - C6-0467/2007 -.
Alexander Graf Lambsdorff
Hr. formand, mine damer og herrer! I hele verden har vi for øjeblikket 13 EU-missioner, som er med til at skabe fred og stabilitet. Ni missioner er allerede afsluttet. I mange af disse operationer kommer væbnede styrker fra vores medlemsstater, ofte sammen med politiet, ind i vanskelige miljøer. Samtidig ved vi alle",4
unter,"Maxim Stepanov

Maxim Osipovich Stepanov (August 1893 – 25 September 1945) was a Soviet komkor (corps commander). He fought for the Imperial Russian Army in World War I before going over to the Bolsheviks during the subsequent civil war. He received the Order of the Red Banner twice (1920, 1922). During the Great Purge, Stepanov's colleague division commissar Peter Maximovich Feldman (standing to his left in the group photo behind Alexander Yegorov) was executed on August 22, 1938. On November 28, 1938, the Central Committee of the Communist Party of the Soviet Union made the decision to dismiss Stepanov from the military, which was carried out the next day. He was arrested on December 9, 1938. He initially pleaded guilty to the charges he was accused of, but then withdrew his plea. He was",4
neben,"Q:

Umlaute im Fraktursatz

Setzt man im Fraktursatz Umlaute auf Großbuchstaben, oder umschreibt man diese mit Ae o.ä.? Ich habe bei der Verwendung der yfonts in LaTeX festgestellt, dass diese fehlen. Wie ist hier die typographische Regel?

A:

Umlaute werden im Fraktursatz in der Regel mit nachgestelltem e wiedergegeben, wenn es sich bei dem Umlaut um Großbuchstaben (Majuskeln) handelt:

Aepfel, Oeſe, Uebung

Umlaute als Kleinbuchstaben werden, je nach Schrift, durch ein Trema (¨) oder durch ein übergestelltes kleines e gekennzeichnet. 

Historischer Nachsatz:
Im Mittelalter wurde ein langer Umlaut durch die Ligatur (Æ), ein kurzer Umlaut mit Trema (Ä) oder übergestelltem e (Aͤ ) geschrieben. Mit Aufkommen des Buchdrucks wurden Trema und übergestelltes e bei den Großbuchstaben unüblich, w",4
zwischen,"Q:

Umlaute im Fraktursatz

Setzt man im Fraktursatz Umlaute auf Großbuchstaben, oder umschreibt man diese mit Ae o.ä.? Ich habe bei der Verwendung der yfonts in LaTeX festgestellt, dass diese fehlen. Wie ist hier die typographische Regel?

A:

Umlaute werden im Fraktursatz in der Regel mit nachgestelltem e wiedergegeben, wenn es sich bei dem Umlaut um Großbuchstaben (Majuskeln) handelt:

Aepfel, Oeſe, Uebung

Umlaute als Kleinbuchstaben werden, je nach Schrift, durch ein Trema (¨) oder durch ein übergestelltes kleines e gekennzeichnet. 

Historischer Nachsatz:
Im Mittelalter wurde ein langer Umlaut durch die Ligatur (Æ), ein kurzer Umlaut mit Trema (Ä) oder übergestelltem e (Aͤ ) geschrieben. Mit Aufkommen des Buchdrucks wurden Trema und übergestelltes e bei den Großbuchstaben unüblich, w",4
gegen,"Introduction
============

*Orcula* [@B30], the type genus of the family Orculidae is a group of small (5--10 mm), pulmonate land snails with ovate--cylindrical shells and 3--4 lamellae within the aperture and the body whorl. Taxa are primarily found in mountainous regions in relatively humid habitats, most commonly in deciduous forests. There are at least 50 names described within the genus and 14 of them are considered as valid on species level ([@B27]). The Alps are inhabited by eight *Orcula* species, and this area is considered as the centre of the diversity of the genus. The type species, *Orcula dolium* ([@B14]), has the widest distribution within the genus, occurring from Eastern France to Eastern Slovakia and North-Eastern Hungary and several subspecies are recognized ([@B35], [@B",4
anstatt,"---
abstract: |
    Am 14.Dezember des Jahres 1900 berichtete Max Planck der Deutschen Physikalischen Gesellschaft “uber seine physikalische Interpretation einer harmlos aussehenden, von ihn selbst zuvor aufgestellten Formel, die das spektrale Verhalten der sogenannten W”armestrahlung beschreibt. Ma“sgeblich durch das Eingreifen Albert Einsteins entwickelte sich daraus im folgenden Vierteljahrhundert eine fundamentale Krise der Physik, die dann in einer wissenschaftlichen Revolution gr”o“sten Ausma”ses m""undete: der Quantentheorie.

    Die Quantentheorie entwickelte sich von Anfang an diametral gegen die Intentionen ihrer Sch“opfer. F”ur Planck bedeutete sie – trotz gr“o”ster “au”serer Anerkennungen – das vollst“andige Scheitern eines langj”ahrigen Forschungsprogramms, f“ur Einstein letzt",3
wegen,"---
abstract: |
    Am 14.Dezember des Jahres 1900 berichtete Max Planck der Deutschen Physikalischen Gesellschaft “uber seine physikalische Interpretation einer harmlos aussehenden, von ihn selbst zuvor aufgestellten Formel, die das spektrale Verhalten der sogenannten W”armestrahlung beschreibt. Ma“sgeblich durch das Eingreifen Albert Einsteins entwickelte sich daraus im folgenden Vierteljahrhundert eine fundamentale Krise der Physik, die dann in einer wissenschaftlichen Revolution gr”o“sten Ausma”ses m""undete: der Quantentheorie.

    Die Quantentheorie entwickelte sich von Anfang an diametral gegen die Intentionen ihrer Sch“opfer. F”ur Planck bedeutete sie – trotz gr“o”ster “au”serer Anerkennungen – das vollst“andige Scheitern eines langj”ahrigen Forschungsprogramms, f“ur Einstein letzt",4
außer,"Ergebnisse des Europäischen Rates vom 15./16.Oktober in Tampere
Die Präsidentin
Nach der Tagesordnung folgen der Bericht des Europäischen Rates und die Erklärung der Kommission zu den Ergebnissen des Europäischen Rates vom 15./16. Oktober in Tampere.
Ich freue mich sehr, nun Herrn Lipponen, dem amtierenden Ratspräsidenten, das Wort erteilen zu dürfen.

Lipponen
Frau Präsidentin, sehr geehrte Mitglieder des Europäischen Parlaments! Es ist mir eine Freude, zum ersten Mal als Ministerpräsident Finnlands hier vor dem Europäischen Parlament sprechen zu dürfen. Ich möchte Sie zu Ihrer Wahl beglückwünschen und dem neuen Parlament viel Erfolg für seine Arbeit wünschen. Wie kürzlich bei einem Treffen mit der Präsidentin treffend bemerkt wurde, ist mit dem neuen Parlament, mit der neuen Kommission u",4
halber,"Ergebnisse des Europäischen Rates vom 15./16.Oktober in Tampere
Die Präsidentin
Nach der Tagesordnung folgen der Bericht des Europäischen Rates und die Erklärung der Kommission zu den Ergebnissen des Europäischen Rates vom 15./16. Oktober in Tampere.
Ich freue mich sehr, nun Herrn Lipponen, dem amtierenden Ratspräsidenten, das Wort erteilen zu dürfen.

Lipponen
Frau Präsidentin, sehr geehrte Mitglieder des Europäischen Parlaments! Es ist mir eine Freude, zum ersten Mal als Ministerpräsident Finnlands hier vor dem Europäischen Parlament sprechen zu dürfen. Ich möchte Sie zu Ihrer Wahl beglückwünschen und dem neuen Parlament viel Erfolg für seine Arbeit wünschen. Wie kürzlich bei einem Treffen mit der Präsidentin treffend bemerkt wurde, ist mit dem neuen Parlament, mit der neuen Kommission u",4
