keyword,true_score,predicted_score,raw
nach_den_Grundsätzen,2,3.0,3
unter_den_Bedingungen,2,1.0,"The grammaticalization score of the German preposition ""unter den Bedingungen"" would likely be low, as it is a more specific and less grammaticalized expression compared to highly grammaticalized prepositions like ""in"" or ""auf."" Therefore, I would assign it a score of 1."
unter_der_Leitung,2,3.0,3
am_Rand,2,1.0,"The grammaticalization score of the German preposition ""am Rand"" is 1."
aus_Gründen,2,3.0,"The grammaticalization score of the German preposition ""aus_Gründen"" is 3."
bei_Verwendung,2,,"The grammaticalization score of the German preposition ""bei_Verwendung"" is not a standard measure or widely recognized term in linguistic studies. Grammaticalization typically refers to the process by which words develop into grammatical elements over time. If ""bei_Verwendung"" is being used in a specific linguistic study or context, the"
in_Höhe,2,1.0,"The grammaticalization score of the German preposition ""in Höhe"" is generally considered to be low, as it is a relatively transparent and compositional phrase used to indicate an amount or value, often in financial contexts. Therefore, the score would be 1."
in_Gestalt,2,2.0,The grammaticalization score of the German preposition 'in_Gestalt' is 2.
in_Form,2,1.0,"The grammaticalization score of the German preposition ""in Form"" is 1."
im_Umfang,2,,"The grammaticalization score of the German preposition ""im Umfang"" would likely be low, as it is not a highly grammaticalized preposition. ""Im Umfang"" is a phrase that translates to ""in the scope of"" or ""within the extent of,"" and it is more of a lexical phrase than a fully grammatical"
im_Bereich/im_Bereiche,2,2.0,"The grammaticalization score of the German preposition ""im_Bereich/im_Bereiche"" is 2."
im_Fall/im_Falle,2,3.0,3
in_Begleitung,2,2.0,"The grammaticalization score of the German preposition ""in Begleitung"" would likely be around 2. This is because ""in Begleitung"" is a relatively fixed expression used to indicate accompaniment, but it hasn't undergone extensive grammaticalization to the point of becoming a highly abstract or purely grammatical marker. It retains a clear lexical"
in_Richtung,2,2.0,"The grammaticalization score of the German preposition ""in Richtung"" is generally considered to be 2. This indicates a moderate level of grammaticalization, as it functions as a prepositional phrase that has not fully developed into a single, highly grammaticalized preposition."
im_Kreis,2,2.0,The grammaticalization score of the German preposition 'im Kreis' is 2.
in_Erwartung,2,2.0,"The grammaticalization score of the German preposition ""in Erwartung"" would likely be around 2. This is because ""in Erwartung"" is a somewhat fixed expression used to convey the idea of anticipation or expectation, but it is not as fully grammaticalized as other prepositions that have undergone more extensive semantic bleaching and"
in_Gegenwart,2,1.0,"The grammaticalization score of the German preposition ""in_Gegenwart"" is 1."
in_Angelegenheiten,2,,"The grammaticalization score of the German preposition 'in_Angelegenheiten' would likely be low, as it is not a fully grammaticalized preposition but rather a phrase combining the preposition 'in' with the noun 'Angelegenheiten' (meaning 'matters' or 'affairs'). Therefore, it"
in_Zeiten,2,2.0,"The grammaticalization score of the German preposition ""in Zeiten"" is 2."
mit_Ausnahme,2,2.0,"The grammaticalization score of the German preposition ""mit Ausnahme"" is 2."
nach_Art,2,1.0,"The grammaticalization score of the German preposition ""nach_Art"" is generally considered to be low, as it is not a fully grammaticalized preposition but rather a phrase that functions similarly to a preposition in certain contexts. Therefore, the score would likely be 1."
ohne_Mitwirkung,2,,"The grammaticalization score of the German preposition 'ohne_Mitwirkung' would likely be low, as it is not a standard or widely recognized preposition in German. It appears to be a compound or a specific phrase rather than a fully grammaticalized preposition. Therefore, I would assign it a score of"
unter_Führung,2,1.0,"The grammaticalization score of the German preposition ""unter_Führung"" would likely be low, as it is not a fully grammaticalized preposition but rather a phrase combining ""unter"" (under) and ""Führung"" (leadership). Therefore, it would likely receive a score of 1."
vom_Standpunkt,2,1.0,The grammaticalization score of the German preposition 'vom Standpunkt' is 1.
zu_Zeiten,2,1.0,"The grammaticalization score of the German preposition ""zu Zeiten"" is generally considered to be low, so it would be around 1."
zum_Preis,2,1.0,The grammaticalization score of the German preposition 'zum_Preis' is 1.
aus_Interesse_an,1,1.0,The grammaticalization score of the German preposition 'aus_Interesse_an' is 1.
aus_Mangel_an,1,1.0,"The grammaticalization score of the German preposition ""aus Mangel an"" is generally considered to be low, as it is a relatively transparent and compositional phrase. Therefore, the score would be 1."
im_Zusammenhang_mit,1,3.0,3
in_Verbindung_mit,1,1.0,"The grammaticalization score of the German preposition ""in Verbindung mit"" is generally considered to be low, as it is a multi-word expression that retains a relatively transparent meaning. Therefore, the score would be 1."
in_Kontakt_mit,1,3.0,3
im_Widerspruch_zu/im_Widerspruch_mit,1,3.0,3
im_Gegensatz_zu,1,3.0,3
Im_Kontrast_zu,1,3.0,3
in_Konkurrenz_zu,1,3.0,3
im_Unterschied_zu,1,3.0,3
im_Einklang_mit,1,3.0,3
im_Einvernehmen_mit,1,3.0,3
im_Einverständnis_mit,1,1.0,The grammaticalization score of the German preposition 'im_Einverständnis_mit' is 1.
in_Übereinstimmung_mit,1,2.0,"The grammaticalization score of the German preposition ""in Übereinstimmung mit"" would likely be around 2. This is because it is a relatively fixed expression used to convey conformity or agreement, but it is not as highly grammaticalized as more basic prepositions like ""in"" or ""mit"" on their own"
im_Benehmen_mit,1,1.0,"The grammaticalization score of the German preposition 'im_Benehmen_mit' is 1, indicating a very low level of grammaticalization."
in_Gemeinschaft_mit,1,3.0,3
im_Hinblick_auf,1,1.0,"The grammaticalization score of the German preposition ""im Hinblick auf"" is generally considered to be low, as it is a relatively transparent and compositional phrase. Therefore, the score would likely be 1."
in_Hinsicht_auf,1,3.0,3
in_Beziehung_auf,1,3.0,3
in_Anlehnung_an,1,1.0,"The grammaticalization score of the German preposition ""in Anlehnung an"" is generally considered to be low, as it is a relatively transparent and compositional phrase. Therefore, the score would likely be 1."
in_Abhängigkeit_von,1,1.0,"The grammaticalization score of the German preposition ""in_Abhängigkeit_von"" is generally considered to be low, as it is a multi-word expression that retains a clear compositional meaning. Therefore, the score would be 1."
im_Anschluss_an,1,3.0,3
im_Verhältnis_zu,1,2.0,"The grammaticalization score of the German preposition ""im Verhältnis zu"" is 2."
im_Vergleich_zu/im_Vergleich_mit,1,3.0,3
mit_Bezug_auf/unter_Bezug_auf,1,3.0,3
mit_Bezugnahme_auf/unter_Bezugnahme_auf,1,3.0,3
vom_Standpunkt_aus,1,2.0,The grammaticalization score of the German preposition 'vom_Standpunkt_aus' is 2.
vom_Gesichtspunkt_aus,1,3.0,3
zur_Erinnerung_an,1,3.0,3
zum_Unterschied_von/zum_Unterschied_mit,1,1.0,"The grammaticalization score of the German preposition ""zum Unterschied von/zum Unterschied mit"" is 1, indicating a very low level of grammaticalization."
auf_dem_Wege,1,3.0,3
auf_dem_Feld,1,2.0,"The grammaticalization score of the German preposition ""auf dem Feld"" would likely be around 2. This is because ""auf dem Feld"" is a relatively straightforward prepositional phrase that hasn't undergone significant grammaticalization compared to more abstract or idiomatic expressions."
auf_dem_Gebiet,1,3.0,3
auf_dem_Sektor,1,1.0,The grammaticalization score of the German preposition 'auf_dem_Sektor' is 1.
auf_dem_Boden,1,1.0,"The grammaticalization score of the German preposition ""auf dem Boden"" would likely be low, as it is a relatively transparent and compositional phrase rather than a highly grammaticalized or idiomatic expression. Therefore, I would assign it a score of 1."
auf_dem_Hintergrund/vor_dem_Hintergrund,1,3.0,3
aus_dem_Blickwinkel,1,1.0,"The grammaticalization score of the German preposition ""aus dem Blickwinkel"" would likely be low, as it is a more complex, multi-word expression rather than a single, highly grammaticalized preposition. Therefore, I would assign it a score of 1."
aus_dem_Grund,1,3.0,3
aus_der_Perspektive,1,2.0,"The grammaticalization score of the German preposition 'aus_der_Perspektive' would likely be around 2. This is because 'aus der Perspektive' is a relatively transparent and compositional phrase, meaning ""from the perspective of,"" and has not undergone significant phonological reduction or semantic bleaching typical of highly grammatical"
für_die_Dauer,1,2.0,"The grammaticalization score of the German preposition ""für die Dauer"" would likely be around 2. This is because ""für die Dauer"" is a relatively fixed expression used to indicate a period of time, but it is not as highly grammaticalized as more basic prepositions like ""in"" or ""auf."" It"
für_den_Fall,1,1.0,"The grammaticalization score of the German preposition ""für den Fall"" is generally considered to be low, as it is a relatively transparent and compositional phrase rather than a highly grammaticalized or idiomatic expression. Therefore, the score would likely be 1."
in_der_Sphäre,1,1.0,"The grammaticalization score of the German preposition 'in_der_Sphäre' would likely be low, as it is not a commonly used or highly grammaticalized preposition in the German language. Therefore, I would assign it a score of 1."
in_den_Grenzen,1,,"The grammaticalization score of the German preposition ""in_den_Grenzen"" is not a standard metric that is widely recognized or used in linguistic studies. Grammaticalization typically refers to the process by which words develop into grammatical elements, and it is not usually quantified with a specific score. Therefore, assigning a specific"
in_den_Reihen,1,1.0,"The grammaticalization score of the German preposition ""in den Reihen"" would likely be low, as it is a more literal and compositional phrase rather than a highly grammaticalized or abstract preposition. Therefore, I would assign it a score of 1."
in_der_Reihe/aus_der_Reihe,1,3.0,3
in_der_Zeit,1,1.0,"The grammaticalization score of the German preposition ""in der Zeit"" would likely be low, as it is a relatively transparent and compositional phrase rather than a highly grammaticalized or idiomatic expression. Therefore, I would assign it a score of 1."
in_der_Epoche,1,,"The grammaticalization score of the German preposition ""in_der_Epoche"" would likely be low, as it is not a conventional preposition but rather a phrase combining a preposition ""in"" with a definite article ""der"" and a noun ""Epoche."" Therefore, it would not be highly grammaticalized."
in_der_Periode,1,1.0,"The grammaticalization score of the German preposition 'in_der_Periode' would likely be low, as it is not a commonly recognized or highly grammaticalized preposition in the German language. Therefore, the score would be 1."
mit_dem_Ziel,1,1.0,"The grammaticalization score of the German preposition ""mit dem Ziel"" is generally considered to be low, as it is a relatively transparent and compositional phrase rather than a highly grammaticalized or idiomatic expression. Therefore, the score would likely be 1."
nach_dem_Grundsatz,1,1.0,"The grammaticalization score of the German preposition ""nach dem Grundsatz"" would likely be low, as it is a more specific and less conventionalized expression compared to highly grammaticalized prepositions. Therefore, I would assign it a score of 1."
nach_dem_Prinzip,1,2.0,The grammaticalization score of the German preposition 'nach_dem_Prinzip' would likely be around 2. This is because 'nach dem Prinzip' (meaning 'according to the principle') is a relatively fixed expression but not as highly grammaticalized as more common prepositions or conjunctions. It retains a clear compos
nach_den_Prinzipien,1,3.0,3
unter_der_Voraussetzung,1,2.0,"The grammaticalization score of the German preposition ""unter der Voraussetzung"" would likely be around 2. This phrase is somewhat grammaticalized as it functions as a prepositional phrase meaning ""under the condition"" or ""provided that,"" but it is not as highly grammaticalized as single-word prepositions."
unter_der_Bedingung,1,1.0,"The grammaticalization score of the German preposition ""unter der Bedingung"" is 1."
unter_dem_Gesichtspunkt,1,3.0,3
unter_dem_Einfluss,1,2.0,"The grammaticalization score of the German preposition ""unter dem Einfluss"" would likely be around 2. This phrase is somewhat grammaticalized as it is commonly used in contexts like ""unter dem Einfluss von Alkohol"" (under the influence of alcohol), but it still retains a clear compositional meaning and is not as fixed or"
unter_dem_Druck,1,2.0,"The grammaticalization score of the German preposition ""unter dem Druck"" would likely be around 2. This phrase is somewhat idiomatic and used in specific contexts, but it is not as highly grammaticalized as more common prepositions or fixed expressions."
von_der_Dauer,1,,"The term ""von der Dauer"" in German is not a single preposition but rather a phrase consisting of the preposition ""von"" (meaning ""of"" or ""from"") and the noun ""Dauer"" (meaning ""duration"" or ""length""). Therefore, it does not have a grammaticalization score as a"
